type,aux info,tag used,org_type,old_label
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:apartments,RES,Multifamily
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:house,RES,Single Family Detached
RES,residential_types,building:house,RES,Single Family Detached
RES,residential_types,building:house,RES,Single Family Detached
RES,residential_types,building:house,RES,Single Family Detached
RES,residential_types,building:house,RES,Single Family Detached
RES,residential_types,building:house,RES,Single Family Detached
RES,residential_types,building:house,RES,Single Family Detached
RES,residential_types,building:house,RES,Single Family Detached
RES,residential_types,building:shed,RES,Single Family Detached
RES,residential_types,building:shed,NON_RES,Institutional
RES,residential_types,building:house,RES,Single Family Detached
RES,residential_types,building:house,RES,Single Family Detached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:house,RES,Single Family Detached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:house,RES,Single Family Detached
RES,residential_types,building:house,RES,Single Family Detached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:house,RES,Single Family Detached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
RES,residential_types,building:residential,RES,Single Family Attached
